dataset,desired_class,overall_seed,fold_idx,test_sample_idx,rep_idx,x,pred_class_x,true_class_x,z,pred_class_z,check_plausibility,opt_C_robust,opt_K_robust,run_time,blackbox_test_acc,blackbox,gower_dist,loss,sparsity
compas,0,42,3,7,0,"[34, 1, 0, 4, 59, 1, 1, 0, 1, 51]",1,0,"[34.0, 1.0, 0.0, 1.3636834675705312, 59.0, 1.0, 1.0, 0.0, 0.0, 51.0]",0,True,False,64,199.58,0.7725,rf,0.10263631653242947,0.15131815826621475,0.8
compas,0,42,3,7,1,"[34, 1, 0, 4, 59, 1, 1, 0, 1, 51]",1,0,"[34.0, 1.0, 0.0, 1.3258748093735895, 59.0, 1.0, 1.0, 0.0, 0.0, 51.0]",0,True,False,64,199.89,0.7725,rf,0.10267412519062642,0.1513370625953132,0.8
compas,0,42,3,7,2,"[34, 1, 0, 4, 59, 1, 1, 0, 1, 51]",1,0,"[34.0, 1.0, 0.0, 1.0389328048610174, 59.0, 1.0, 1.0, 0.0, 0.0, 51.0]",0,True,False,64,200.107,0.7725,rf,0.10296106719513898,0.1514805335975695,0.8
compas,0,42,3,7,3,"[34, 1, 0, 4, 59, 1, 1, 0, 1, 51]",1,0,"[34.0, 1.0, 0.0, 1.445109689782037, 59.0, 1.0, 1.0, 0.0, 0.0, 51.0]",0,True,False,64,198.709,0.7725,rf,0.10255489031021797,0.151277445155109,0.8
compas,0,42,3,7,4,"[34, 1, 0, 4, 59, 1, 1, 0, 1, 51]",1,0,"[34.0, 1.0, 0.0, 1.483927485688283, 59.0, 1.0, 1.0, 0.0, 0.0, 51.0]",0,True,False,64,198.669,0.7725,rf,0.10251607251431172,0.15125803625715586,0.8
compas,0,42,3,10,0,"[63, 1, 0, 10, 38, 1, 1, 0, 1, 35]",1,1,"[63.0, 1.0, 0.0, 1.463493278102748, 38.0, 1.0, 1.0, 0.0, 0.0, 35.0]",0,True,False,64,196.777,0.7725,rf,0.10853650672189726,0.15426825336094863,0.8
compas,0,42,3,10,1,"[63, 1, 0, 10, 38, 1, 1, 0, 1, 35]",1,1,"[63.0, 1.0, 0.0, 1.4974964708690808, 38.0, 1.0, 1.0, 0.0, 0.0, 35.0]",0,True,False,64,197.022,0.7725,rf,0.10850250352913092,0.15425125176456547,0.8
compas,0,42,3,10,2,"[63, 1, 0, 10, 38, 1, 1, 0, 1, 35]",1,1,"[63.0, 1.0, 0.0, 1.3450841412889685, 38.0, 1.0, 1.0, 0.0, 0.0, 35.0]",0,True,False,64,199.375,0.7725,rf,0.10865491585871104,0.15432745792935554,0.8
compas,0,42,3,10,3,"[63, 1, 0, 10, 38, 1, 1, 0, 1, 35]",1,1,"[63.0, 1.0, 0.0, 1.4496932109367089, 38.0, 1.0, 1.0, 0.0, 0.0, 35.0]",0,True,False,64,196.342,0.7725,rf,0.1085503067890633,0.15427515339453166,0.8
compas,0,42,3,10,4,"[63, 1, 0, 10, 38, 1, 1, 0, 1, 35]",1,1,"[63.0, 1.0, 0.0, 1.471736874520635, 38.0, 1.0, 1.0, 0.0, 0.0, 35.0]",0,True,False,64,196.19,0.7725,rf,0.10852826312547936,0.1542641315627397,0.8
compas,0,42,3,11,0,"[29, 1, 0, 4, 1, 0, 1, 0, 1, 18]",1,1,"[59.506210220975454, 1.0, 0.0, 2.5016534790788496, 1.0, 0.0, 1.0, 0.0, 1.0, 18.0]",0,True,False,64,218.663,0.7725,rf,0.038701041912354635,0.11935052095617732,0.8
compas,0,42,3,11,1,"[29, 1, 0, 4, 1, 0, 1, 0, 1, 18]",1,1,"[58.582362865876696, 1.0, 0.0, 3.1667994410443185, 1.0, 0.0, 1.0, 0.0, 1.0, 18.0]",0,True,False,64,219.036,0.7725,rf,0.03690925283441507,0.11845462641720754,0.8
compas,0,42,3,11,2,"[29, 1, 0, 4, 1, 0, 1, 0, 1, 18]",1,1,"[58.472449241024606, 1.0, 0.0, 0.40894487496892684, 1.0, 0.0, 1.0, 0.0, 1.0, 18.0]",0,True,False,64,220.74,0.7725,rf,0.039533066394573275,0.11976653319728664,0.8
compas,0,42,3,11,3,"[29, 1, 0, 4, 1, 0, 1, 0, 1, 18]",1,1,"[54.336479926932455, 1.0, 0.0, 3.4284451955235884, 1.0, 0.0, 1.0, 0.0, 1.0, 18.0]",0,True,False,64,221.631,0.7725,rf,0.03146970105683306,0.11573485052841653,0.8
compas,0,42,3,11,4,"[29, 1, 0, 4, 1, 0, 1, 0, 1, 18]",1,1,"[56.13595514879627, 1.0, 0.0, 1.7287748617609178, 1.0, 0.0, 1.0, 0.0, 1.0, 18.0]",0,True,False,64,221.089,0.7725,rf,0.035363853368478436,0.11768192668423923,0.8
compas,0,42,3,13,0,"[27, 1, 0, 6, 0, 0, 1, 0, 1, 30]",1,0,"[61.73066428764868, 1.0, 0.0, 6.0, 0.0, 0.0, 1.0, 0.0, 1.0, 30.0]",0,True,False,64,216.046,0.7725,rf,0.042354468643474,0.071177234321737,0.9
compas,0,42,3,13,1,"[27, 1, 0, 6, 0, 0, 1, 0, 1, 30]",1,0,"[60.297768119675546, 1.0, 0.0, 6.0, 0.0, 0.0, 1.0, 0.0, 1.0, 30.0]",0,True,False,64,214.746,0.7725,rf,0.04060703429228726,0.07030351714614363,0.9
compas,0,42,3,13,2,"[27, 1, 0, 6, 0, 0, 1, 0, 1, 30]",1,0,"[61.08780022983677, 1.0, 0.0, 6.0, 0.0, 0.0, 1.0, 0.0, 1.0, 30.0]",0,True,False,64,213.82,0.7725,rf,0.0415704880851668,0.0707852440425834,0.9
compas,0,42,3,13,3,"[27, 1, 0, 6, 0, 0, 1, 0, 1, 30]",1,0,"[66.81231134450017, 1.0, 0.0, 6.0, 0.0, 0.0, 1.0, 0.0, 1.0, 46.9255635907504]",0,True,False,64,211.11,0.7725,rf,0.049962062833172505,0.12498103141658626,0.8
compas,0,42,3,13,4,"[27, 1, 0, 6, 0, 0, 1, 0, 1, 30]",1,0,"[60.056838412868466, 1.0, 0.0, 6.0, 0.0, 0.0, 1.0, 0.0, 1.0, 44.69584431698227]",0,True,False,64,218.126,0.7725,rf,0.04153787126975072,0.12076893563487537,0.8
compas,0,42,3,16,0,"[22, 1, 0, 2, 0, 0, 1, 0, 1, 30]",1,1,"[53.05604869543223, 1.0, 0.0, 2.0, 0.0, 0.0, 1.0, 0.0, 1.0, 56.02193135920959]",0,True,False,64,225.224,0.7725,rf,0.0400417243963149,0.12002086219815745,0.8
compas,0,42,3,16,1,"[22, 1, 0, 2, 0, 0, 1, 0, 1, 30]",1,1,"[60.06647885227578, 1.0, 0.0, 2.0, 0.0, 0.0, 1.0, 0.0, 1.0, 30.0]",0,True,False,64,224.974,0.7725,rf,0.04642253518570217,0.07321126759285108,0.9
compas,0,42,3,16,2,"[22, 1, 0, 2, 0, 0, 1, 0, 1, 30]",1,1,"[53.16327073477982, 1.0, 0.0, 2.0, 0.0, 0.0, 1.0, 0.0, 1.0, 52.5307361650086]",0,True,False,64,224.842,0.7725,rf,0.03988155004803506,0.11994077502401754,0.8
compas,0,42,3,16,3,"[22, 1, 0, 2, 0, 0, 1, 0, 1, 30]",1,1,"[59.00179269025985, 1.0, 0.0, 2.0, 0.0, 0.0, 1.0, 0.0, 1.0, 30.0]",0,True,False,64,224.209,0.7725,rf,0.04512413742714616,0.07256206871357308,0.9
compas,0,42,3,16,4,"[22, 1, 0, 2, 0, 0, 1, 0, 1, 30]",1,1,"[57.22927795792826, 1.0, 0.0, 2.0, 0.0, 0.0, 1.0, 0.0, 1.0, 37.77562604274721]",0,True,False,64,224.89,0.7725,rf,0.04361050293193007,0.12180525146596505,0.8
compas,0,42,3,17,0,"[26, 1, 2, 7, 0, 0, 1, 0, 1, 0]",1,1,"[62.895931667864595, 1.0, 2.0, 7.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0]",0,True,False,64,212.085,0.7725,rf,0.04499503861934707,0.07249751930967353,0.9
compas,0,42,3,17,1,"[26, 1, 2, 7, 0, 0, 1, 0, 1, 0]",1,1,"[62.260738845626484, 1.0, 2.0, 7.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0]",0,True,False,64,212.606,0.7725,rf,0.04422041322637377,0.07211020661318689,0.9
compas,0,42,3,17,2,"[26, 1, 2, 7, 0, 0, 1, 0, 1, 0]",1,1,"[60.01493456612267, 1.0, 2.0, 7.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0]",0,True,False,64,212.699,0.7725,rf,0.04148162751966179,0.0707408137598309,0.9
compas,0,42,3,17,3,"[26, 1, 2, 7, 0, 0, 1, 0, 1, 0]",1,1,"[59.828155510938416, 1.0, 2.0, 7.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0]",0,True,False,64,210.961,0.7725,rf,0.04125384818407124,0.07062692409203562,0.9
compas,0,42,3,17,4,"[26, 1, 2, 7, 0, 0, 1, 0, 1, 0]",1,1,"[59.18854530886533, 1.0, 2.0, 7.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0]",0,True,False,64,210.368,0.7725,rf,0.0404738357425187,0.07023691787125935,0.9
compas,0,42,3,22,0,"[33, 1, 0, 28, 1, 0, 1, 0, 1, 1]",1,1,"[56.85585480706918, 1.0, 0.0, 1.9423338297941797, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0]",0,True,False,64,219.692,0.7725,rf,0.05515017203248532,0.12757508601624268,0.8
compas,0,42,3,22,1,"[33, 1, 0, 28, 1, 0, 1, 0, 1, 1]",1,1,"[60.872331756583925, 1.0, 0.0, 4.753195118432671, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0]",0,True,False,64,220.263,0.7725,rf,0.057237453365206276,0.12861872668260316,0.8
compas,0,42,3,22,2,"[33, 1, 0, 28, 1, 0, 1, 0, 1, 1]",1,1,"[61.68561770316063, 1.0, 0.0, 4.72835043588016, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0]",0,True,False,64,217.94,0.7725,rf,0.05825411017773037,0.12912705508886518,0.8
compas,0,42,3,22,3,"[33, 1, 0, 28, 1, 0, 1, 0, 1, 1]",1,1,"[58.041271482991036, 1.0, 0.0, 2.855250034738763, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0]",0,True,False,64,216.946,0.7725,rf,0.05568288592012836,0.1278414429600642,0.8
compas,0,42,3,22,4,"[33, 1, 0, 28, 1, 0, 1, 0, 1, 1]",1,1,"[56.95712011736428, 1.0, 0.0, 0.709891615628197, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0]",0,True,False,64,217.511,0.7725,rf,0.05650610852749898,0.1282530542637495,0.8
compas,0,42,3,26,0,"[32, 1, 0, 11, 2, 0, 1, 1, 1, 1]",1,0,"[50.38549693890329, 1.0, 0.0, 5.821740341895906, 2.0, 0.0, 1.0, 1.0, 1.0, 1.0]",0,True,False,64,211.658,0.7725,rf,0.027599597388473958,0.11379979869423698,0.8
compas,0,42,3,26,1,"[32, 1, 0, 11, 2, 0, 1, 1, 1, 1]",1,0,"[53.237013180861396, 1.0, 0.0, 3.7573305722667842, 2.0, 0.0, 1.0, 1.0, 1.0, 1.0]",0,True,False,64,210.838,0.7725,rf,0.03314146598975931,0.11657073299487966,0.8
compas,0,42,3,26,2,"[32, 1, 0, 11, 2, 0, 1, 1, 1, 1]",1,0,"[52.42493859294039, 1.0, 0.0, 4.997794870792141, 2.0, 0.0, 1.0, 1.0, 1.0, 1.0]",0,True,False,64,212.109,0.7725,rf,0.030910666827915656,0.11545533341395783,0.8
compas,0,42,3,26,3,"[32, 1, 0, 11, 2, 0, 1, 1, 1, 1]",1,0,"[59.26137963323007, 1.0, 0.0, 6.110692684195218, 2.0, 0.0, 1.0, 1.0, 1.0, 1.0]",0,True,False,64,210.942,0.7725,rf,0.03813489223437804,0.11906744611718903,0.8
compas,0,42,3,26,4,"[32, 1, 0, 11, 2, 0, 1, 1, 1, 1]",1,0,"[48.958942650280115, 1.0, 0.0, 4.558191094266389, 2.0, 0.0, 1.0, 1.0, 1.0, 1.0]",0,True,False,64,211.351,0.7725,rf,0.027123446284123994,0.113561723142062,0.8
compas,0,42,3,33,0,"[22, 1, 0, 1, 0, 0, 1, 0, 1, 0]",1,0,"[49.69851179284303, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 8.664443092282703]",0,True,False,64,229.291,0.7725,rf,0.03450070984245814,0.11725035492122908,0.8
compas,0,42,3,33,1,"[22, 1, 0, 1, 0, 0, 1, 0, 1, 0]",1,0,"[54.4086248239085, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 3.5653993772431836]",0,True,False,64,228.464,0.7725,rf,0.039819829814658675,0.11990991490732934,0.8
compas,0,42,3,33,2,"[22, 1, 0, 1, 0, 0, 1, 0, 1, 0]",1,0,"[53.66485785658718, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 2.363728008022825]",0,True,False,64,229.071,0.7725,rf,0.03881265764691311,0.11940632882345656,0.8
compas,0,42,3,33,3,"[22, 1, 0, 1, 0, 0, 1, 0, 1, 0]",1,0,"[53.5414181182217, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 20.590420534171784]",0,True,False,64,227.186,0.7725,rf,0.04018101242445948,0.12009050621222975,0.8
compas,0,42,3,33,4,"[22, 1, 0, 1, 0, 0, 1, 0, 1, 0]",1,0,"[54.109970373843176, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.06438874148985141]",0,True,False,64,227.211,0.7725,rf,0.03916386618436381,0.1195819330921819,0.8
compas,0,42,3,34,0,"[47, 1, 0, 23, 1, 1, 1, 0, 1, 0]",1,1,"[60.19680344491822, 1.0, 0.0, 8.299726399575386, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0]",0,True,False,64,205.377,0.7725,rf,0.13079393633812977,0.2153969681690649,0.7
compas,0,42,3,34,1,"[47, 1, 0, 23, 1, 1, 1, 0, 1, 0]",1,1,"[47.0, 1.0, 0.0, 6.3695005293955855, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0]",0,True,False,64,208.157,0.7725,rf,0.11663049947060443,0.15831524973530223,0.8
compas,0,42,3,34,2,"[47, 1, 0, 23, 1, 1, 1, 0, 1, 0]",1,1,"[47.0, 1.0, 0.0, 6.24743918060359, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0]",0,True,False,64,209.676,0.7725,rf,0.1167525608193964,0.1583762804096982,0.8
compas,0,42,3,34,3,"[47, 1, 0, 23, 1, 1, 1, 0, 1, 0]",1,1,"[47.0, 1.0, 0.0, 5.680662443657606, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0]",0,True,False,64,208.653,0.7725,rf,0.11731933755634238,0.1586596687781712,0.8
compas,0,42,3,34,4,"[47, 1, 0, 23, 1, 1, 1, 0, 1, 0]",1,1,"[47.0, 1.0, 0.0, 6.211843468990363, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0]",0,True,False,64,208.219,0.7725,rf,0.11678815653100966,0.15839407826550483,0.8
compas,0,42,3,35,0,"[45, 1, 2, 8, 0, 1, 1, 0, 1, 71]",1,0,"[77.61919049401568, 1.0, 2.0, 8.0, 0.0, 1.0, 1.0, 0.0, 1.0, 71.0]",0,True,False,64,200.316,0.7725,rf,0.039779500602458155,0.06988975030122908,0.9
compas,0,42,3,35,1,"[45, 1, 2, 8, 0, 1, 1, 0, 1, 71]",1,0,"[75.38692487179755, 1.0, 2.0, 8.0, 0.0, 1.0, 1.0, 0.0, 1.0, 71.0]",0,True,False,64,200.603,0.7725,rf,0.03705722545341164,0.06852861272670582,0.9
compas,0,42,3,35,2,"[45, 1, 2, 8, 0, 1, 1, 0, 1, 71]",1,0,"[45.0, 1.0, 2.0, 2.297191981106239, 0.0, 1.0, 1.0, 0.0, 1.0, 71.0]",0,True,False,64,203.697,0.7725,rf,0.005702808018893761,0.052851404009446885,0.9
compas,0,42,3,35,3,"[45, 1, 2, 8, 0, 1, 1, 0, 1, 71]",1,0,"[61.07316255367856, 1.0, 2.0, 8.0, 0.0, 1.0, 1.0, 0.0, 1.0, 71.0]",0,True,False,64,201.188,0.7725,rf,0.019601417748388486,0.059800708874194246,0.9
compas,0,42,3,35,4,"[45, 1, 2, 8, 0, 1, 1, 0, 1, 71]",1,0,"[45.0, 1.0, 2.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 71.0]",0,True,False,64,201.113,0.7725,rf,0.008,0.054000000000000006,0.9
compas,0,42,3,36,0,"[35, 0, 0, 23, 1, 0, 1, 0, 1, 2]",1,1,"[58.84817886692414, 0.0, 0.0, 0.997415665653717, 1.0, 0.0, 1.0, 0.0, 1.0, 2.0]",0,True,False,64,207.141,0.7725,rf,0.05108572929400987,0.12554286464700493,0.8
compas,0,42,3,36,1,"[35, 0, 0, 23, 1, 0, 1, 0, 1, 2]",1,1,"[59.04653935321251, 0.0, 0.0, 0.861565938946432, 1.0, 0.0, 1.0, 0.0, 1.0, 2.0]",0,True,False,64,207.488,0.7725,rf,0.05146348205277615,0.12573174102638807,0.8
compas,0,42,3,36,2,"[35, 0, 0, 23, 1, 0, 1, 0, 1, 2]",1,1,"[59.34761485986421, 0.0, 0.0, 0.15242729970366398, 1.0, 0.0, 1.0, 0.0, 1.0, 2.0]",0,True,False,64,207.921,0.7725,rf,0.05253978594403317,0.1262698929720166,0.8
compas,0,42,3,36,3,"[35, 0, 0, 23, 1, 0, 1, 0, 1, 2]",1,1,"[60.0091647326458, 0.0, 0.0, 0.2878432496314671, 1.0, 0.0, 1.0, 0.0, 1.0, 2.0]",0,True,False,64,206.21,0.7725,rf,0.0532111381316439,0.12660556906582196,0.8
compas,0,42,3,36,4,"[35, 0, 0, 23, 1, 0, 1, 0, 1, 2]",1,1,"[59.16928987754565, 0.0, 0.0, 0.5951431600694918, 1.0, 0.0, 1.0, 0.0, 1.0, 2.0]",0,True,False,64,205.59,0.7725,rf,0.05187960059303496,0.1259398002965175,0.8
compas,0,42,3,41,0,"[27, 1, 0, 11, 1, 0, 1, 0, 1, 223]",1,1,"[61.715920918489815, 1.0, 0.0, 5.410875341765897, 1.0, 0.0, 1.0, 0.0, 1.0, 223.0]",0,True,False,64,205.718,0.7725,rf,0.047925613583221685,0.12396280679161084,0.8
compas,0,42,3,41,1,"[27, 1, 0, 11, 1, 0, 1, 0, 1, 223]",1,1,"[58.99922648288665, 1.0, 0.0, 3.2210856264786396, 1.0, 0.0, 1.0, 0.0, 1.0, 223.0]",0,True,False,64,205.661,0.7725,rf,0.046802361303870936,0.12340118065193548,0.8
compas,0,42,3,41,2,"[27, 1, 0, 11, 1, 0, 1, 0, 1, 223]",1,1,"[60.84558679229825, 1.0, 0.0, 1.0796522136678144, 1.0, 0.0, 1.0, 0.0, 1.0, 223.0]",0,True,False,64,207.394,0.7725,rf,0.051195453630598346,0.12559772681529918,0.8
compas,0,42,3,41,3,"[27, 1, 0, 11, 1, 0, 1, 0, 1, 223]",1,1,"[60.76595344721561, 1.0, 0.0, 5.1866885160596095, 1.0, 0.0, 1.0, 0.0, 1.0, 223.0]",0,True,False,64,206.278,0.7725,rf,0.046991303492739916,0.12349565174636996,0.8
compas,0,42,3,41,4,"[27, 1, 0, 11, 1, 0, 1, 0, 1, 223]",1,1,"[60.988136316258064, 1.0, 0.0, 1.5120606558326755, 1.0, 0.0, 1.0, 0.0, 1.0, 223.0]",0,True,False,64,204.518,0.7725,rf,0.050936886071311305,0.12546844303565566,0.8
compas,0,42,3,42,0,"[23, 1, 0, 2, 1, 0, 0, 0, 0, 71]",1,1,"[59.61633762050534, 1.0, 0.0, 2.0, 1.0, 0.0, 0.0, 0.0, 0.0, 71.0]",0,True,False,64,230.368,0.7725,rf,0.044654070268908955,0.07232703513445449,0.9
compas,0,42,3,42,1,"[23, 1, 0, 2, 1, 0, 0, 0, 0, 71]",1,1,"[59.603228492142065, 1.0, 0.0, 2.0, 1.0, 0.0, 0.0, 0.0, 0.0, 71.0]",0,True,False,64,232.408,0.7725,rf,0.04463808352700252,0.07231904176350126,0.9
compas,0,42,3,42,2,"[23, 1, 0, 2, 1, 0, 0, 0, 0, 71]",1,1,"[59.61946144136054, 1.0, 0.0, 2.0, 1.0, 0.0, 0.0, 0.0, 0.0, 71.0]",0,True,False,64,231.365,0.7725,rf,0.04465787980653725,0.07232893990326864,0.9
compas,0,42,3,42,3,"[23, 1, 0, 2, 1, 0, 0, 0, 0, 71]",1,1,"[59.62788315954883, 1.0, 0.0, 2.0, 1.0, 0.0, 0.0, 0.0, 0.0, 71.0]",0,True,False,64,231.863,0.7725,rf,0.044668150194571744,0.07233407509728587,0.9
compas,0,42,3,42,4,"[23, 1, 0, 2, 1, 0, 0, 0, 0, 71]",1,1,"[59.73753806066289, 1.0, 0.0, 2.0, 1.0, 0.0, 0.0, 0.0, 0.0, 71.0]",0,True,False,64,230.418,0.7725,rf,0.04480187568373524,0.07240093784186763,0.9
compas,0,42,3,44,0,"[32, 1, 0, 14, 1, 0, 0, 0, 0, 1]",1,1,"[54.02986132874003, 1.0, 0.0, 3.477844608614417, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0]",0,True,False,64,227.292,0.7725,rf,0.03738783993862953,0.11869391996931478,0.8
compas,0,42,3,44,1,"[32, 1, 0, 14, 1, 0, 0, 0, 0, 1]",1,1,"[53.85149972965851, 1.0, 0.0, 3.406121698560907, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0]",0,True,False,64,228.757,0.7725,rf,0.037242048703461664,0.11862102435173083,0.8
compas,0,42,3,44,2,"[32, 1, 0, 14, 1, 0, 0, 0, 0, 1]",1,1,"[53.50744297586141, 1.0, 0.0, 3.4679228025289195, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0]",0,True,False,64,227.469,0.7725,rf,0.03676066619242402,0.11838033309621201,0.8
compas,0,42,3,44,3,"[32, 1, 0, 14, 1, 0, 0, 0, 0, 1]",1,1,"[54.225162125990025, 1.0, 0.0, 3.398856962734037, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0]",0,True,False,64,228.247,0.7725,rf,0.03770499928847332,0.11885249964423666,0.8
compas,0,42,3,44,4,"[32, 1, 0, 14, 1, 0, 0, 0, 0, 1]",1,1,"[56.37356415758217, 1.0, 0.0, 3.333196528435181, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0]",0,True,False,64,227.295,0.7725,rf,0.040390662200323564,0.12019533110016178,0.8
compas,0,42,3,60,0,"[30, 1, 0, 2, 83, 0, 0, 0, 0, 83]",1,0,"[52.57572085783893, 1.0, 0.0, 2.01669643434173, 83.0, 0.0, 0.0, 0.0, 0.0, 83.0]",0,True,False,64,211.762,0.7725,rf,0.027548063334145303,0.11377403166707266,0.8
compas,0,42,3,60,1,"[30, 1, 0, 2, 83, 0, 0, 0, 0, 83]",1,0,"[52.9470982537803, 1.0, 0.0, 1.9972213332376283, 83.0, 0.0, 0.0, 0.0, 0.0, 83.0]",0,True,False,64,213.367,0.7725,rf,0.027987044829909075,0.11399352241495454,0.8
compas,0,42,3,60,2,"[30, 1, 0, 2, 83, 0, 0, 0, 0, 83]",1,0,"[54.25401982775192, 1.0, 0.0, 1.9729661854033298, 83.0, 0.0, 0.0, 0.0, 0.0, 83.0]",0,True,False,64,211.573,0.7725,rf,0.029605106775269743,0.11480255338763487,0.8
compas,0,42,3,60,3,"[30, 1, 0, 2, 83, 0, 0, 0, 0, 83]",1,0,"[52.67635055018917, 1.0, 0.0, 2.007359908654954, 83.0, 0.0, 0.0, 0.0, 0.0, 83.0]",0,True,False,64,212.411,0.7725,rf,0.027661445945471014,0.11383072297273551,0.8
compas,0,42,3,60,4,"[30, 1, 0, 2, 83, 0, 0, 0, 0, 83]",1,0,"[53.61470703483548, 1.0, 0.0, 1.9923049305428986, 83.0, 0.0, 0.0, 0.0, 0.0, 83.0]",0,True,False,64,212.311,0.7725,rf,0.028806118282671107,0.11440305914133556,0.8
compas,0,42,3,72,0,"[32, 1, 0, 12, 1, 0, 1, 1, 1, 1]",1,1,"[54.858222643286695, 1.0, 0.0, 5.617801578565784, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0]",0,True,False,64,211.852,0.7725,rf,0.03425807969373506,0.11712903984686754,0.8
